tau_mem,hunger_drive,brain_body_sync_ms,seed,food_eaten,final_dust,final_x,final_y
12.0,0.4,10.0,1,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.4,10.0,2,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.4,10.0,3,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.4,10.0,4,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.4,10.0,5,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.4,15.0,1,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.4,15.0,2,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.4,15.0,3,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.4,15.0,4,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.4,15.0,5,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.4,20.0,1,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.4,20.0,2,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.4,20.0,3,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.4,20.0,4,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.4,20.0,5,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.55,10.0,1,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.55,10.0,2,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.55,10.0,3,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.55,10.0,4,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.55,10.0,5,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.55,15.0,1,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.55,15.0,2,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.55,15.0,3,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.55,15.0,4,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.55,15.0,5,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.55,20.0,1,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.55,20.0,2,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.55,20.0,3,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.55,20.0,4,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.55,20.0,5,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.7,10.0,1,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.7,10.0,2,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.7,10.0,3,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.7,10.0,4,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.7,10.0,5,0.0,0.012,0.8627654145083916,0.7838291046828255
12.0,0.7,15.0,1,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.7,15.0,2,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.7,15.0,3,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.7,15.0,4,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.7,15.0,5,0.08,0.045000000000000005,1.0325959133466263,0.43325880355634255
12.0,0.7,20.0,1,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.7,20.0,2,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.7,20.0,3,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.7,20.0,4,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
12.0,0.7,20.0,5,0.21999999999999997,0.012,0.8774276414791877,0.38245329185243704
20.0,0.4,10.0,1,0.8800000000000004,0.015,1.4868833471537821,0.04629043852843992
20.0,0.4,10.0,2,0.8800000000000004,0.015,1.4868833471537821,0.04629043852843992
20.0,0.4,10.0,3,0.8800000000000004,0.015,1.4868833471537821,0.04629043852843992
20.0,0.4,10.0,4,0.8800000000000004,0.015,1.4868833471537821,0.04629043852843992
20.0,0.4,10.0,5,0.8800000000000004,0.015,1.4868833471537821,0.04629043852843992
20.0,0.4,15.0,1,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.4,15.0,2,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.4,15.0,3,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.4,15.0,4,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.4,15.0,5,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.4,20.0,1,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.4,20.0,2,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.4,20.0,3,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.4,20.0,4,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.4,20.0,5,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.55,10.0,1,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.55,10.0,2,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.55,10.0,3,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.55,10.0,4,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.55,10.0,5,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.55,15.0,1,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.55,15.0,2,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.55,15.0,3,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.55,15.0,4,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.55,15.0,5,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.55,20.0,1,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.55,20.0,2,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.55,20.0,3,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.55,20.0,4,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.55,20.0,5,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.7,10.0,1,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.7,10.0,2,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.7,10.0,3,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.7,10.0,4,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.7,10.0,5,0.0,0.08400000000000003,1.230527729157723,1.390605878915945
20.0,0.7,15.0,1,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.7,15.0,2,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.7,15.0,3,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.7,15.0,4,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.7,15.0,5,0.3,0.06900000000000002,1.9270036650873537,-0.019957113008569574
20.0,0.7,20.0,1,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.7,20.0,2,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.7,20.0,3,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.7,20.0,4,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
20.0,0.7,20.0,5,0.3,0.023114552755508118,0.7649345539440342,-0.001986957406598523
28.0,0.4,10.0,1,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.4,10.0,2,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.4,10.0,3,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.4,10.0,4,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.4,10.0,5,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.4,15.0,1,0.0,0.10200000000000005,0.9137233906438257,0.03812808614316994
28.0,0.4,15.0,2,0.0,0.10200000000000005,0.9137233906438257,0.03812808614316994
28.0,0.4,15.0,3,0.0,0.10200000000000005,0.9137233906438257,0.03812808614316994
28.0,0.4,15.0,4,0.0,0.10200000000000005,0.9137233906438257,0.03812808614316994
28.0,0.4,15.0,5,0.0,0.10200000000000005,0.9137233906438257,0.03812808614316994
28.0,0.4,20.0,1,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.4,20.0,2,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.4,20.0,3,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.4,20.0,4,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.4,20.0,5,0.6000000000000002,0.048282228805794344,0.8616877705323979,0.4783988099466976
28.0,0.55,10.0,1,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
28.0,0.55,10.0,2,0.5200000000000001,0.057000000000000016,1.2720503069805174,0.08054822224510785
